採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,採樣日期_clean, 差異天數 ,採樣年,採樣月,採樣日,測站編號,經度(TWD97),緯度(TWD97),上下游_新竹,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,硒,濁度,鉻,總氮,總凱氏氮,備註
南崁溪流域,南崁溪,桃園市,南崁溪橋,丙,2015/1/8 下午 02:45:00,2015/1/8, 28 ,2015,1,8,1048,121.280957,25.055733,,4.5,17.8,16.8,7.5,952,,8.4,85.6,9.3,36.4,16.9,47000,9.1,,,,,,,,,,,,,,,,,,,,
南崁溪流域,南崁溪,桃園市,南崁溪橋,丙,2015/3/3 下午 02:45:00,2015/3/3, 28 ,2015,3,3,1048,121.280957,25.055733,,4.5,23.9,23.9,7.8,991,,7.6,89.7,10.1,39.9,7.9,65000,7.03,,1.37,9.81,2.24,0.404,0.001,0.003,0.002,0.0016,0.0003,0.015,0.09,0.156,0.001,0.001,,,,,
南崁溪流域,南崁溪,桃園市,南崁溪橋,丙,2015/10/2 下午 02:45:00,2015/10/2, 28 ,2015,10,2,1048,121.280957,25.055733,,5,24.1,26.4,7.2,630,,6.4,78.5,5.5,20.6,4.6,50000,4.19,,,,,,,,,,,,,,,,,,,,
南崁溪流域,南崁溪,桃園市,南崁溪橋,丙,2016/5/5 下午 02:35:00,2016/5/5, 28 ,2016,5,5,1048,121.280957,25.055733,,5,28.6,28.9,7.5,880,,5.8,75.1,9,30.3,10.1,61000,6.65,,,,,,,,,,,,,,,,,,,,
南崁溪流域,南崁溪,桃園市,南崁溪橋,丙,2016/8/2 下午 02:35:00,2016/8/2, 28 ,2016,8,2,1048,121.280957,25.055733,,5.5,31.8,32.3,7.6,927,,6.1,84.6,9.2,36.2,20.9,55000,5.16,,,,,,,,,,,,,,,,,,,,
南崁溪流域,南崁溪,桃園縣,竹圍大橋,丙,2013/4/1 下午 01:45:00,2013/4/1, 28 ,2013,4,1,1049,121.247779,25.108028,,6.8,21,21.4,7.5,641,,7.6,85.7,13.3,42.2,143,220000,6.83,,,,,,,,,,,,,,,,,,,,
南崁溪流域,南崁溪,桃園縣,竹圍大橋,丙,2013/7/1 下午 02:05:00,2013/7/1, 28 ,2013,7,1,1049,121.247779,25.108028,,7.3,34,33.2,8.9,980,,5.2,72.9,7.8,34.3,256,8600,6.48,,,,,,,,,,,,,,,,,,,,
南崁溪流域,南崁溪,桃園市,竹圍大橋,丙,2014/3/6 下午 03:25:00,2014/3/6, 28 ,2014,3,6,1049,121.247779,25.108028,,5,16,16.4,7.5,772,,7.5,76.1,12.4,36.2,43.8,340000,7.05,,1.02,8.62,2.69,0.444,0.001,0.011,0.002,0.0023,0.0003,0.099,0.18,0.178,0.001,0.001,,,,,
南崁溪流域,南崁溪,桃園市,竹圍大橋,丙,2014/5/6 下午 03:25:00,2014/5/6, 28 ,2014,5,6,1049,121.247779,25.108028,,5,19,20,7.4,608,,7.5,81.8,8.7,26.8,29.7,220000,3.75,,,,,,,,,,,,,,,,,,,,
南崁溪流域,南崁溪,桃園市,竹圍大橋,丙,2014/9/2 下午 03:25:00,2014/9/2, 28 ,2014,9,2,1049,121.247779,25.108028,,5,34.9,32.3,7.9,1180,,7.2,98.9,11.2,35.9,21.1,22000,5.41,,1.6,,1.98,,0.001,0.003,0.002,0.0025,0.0003,0.042,0.037,0.071,0.001,,,,,,
南崁溪流域,南崁溪,桃園市,竹圍大橋,丙,2015/1/8 下午 03:25:00,2015/1/8, 28 ,2015,1,8,1049,121.247779,25.108028,,5.8,17.6,16.8,7.5,1230,,8.1,83.4,11.1,45.1,66.4,48000,10.5,,,,,,,,,,,,,,,,,,,,
南崁溪流域,南崁溪,桃園市,竹圍大橋,丙,2015/3/3 下午 03:25:00,2015/3/3, 28 ,2015,3,3,1049,121.247779,25.108028,,5,22,23.8,7.6,1320,,6.8,79.5,9.3,42.2,29.4,93000,8.18,,1.64,12.4,3.41,0.467,0.001,0.003,0.002,0.0021,0.0003,0.191,0.089,0.195,0.001,0.001,,,,,
南崁溪流域,南崁溪,桃園市,竹圍大橋,丙,2015/10/2 下午 03:25:00,2015/10/2, 28 ,2015,10,2,1049,121.247779,25.108028,,4,24.3,26.1,7.2,708,,5.7,69.3,5.9,20.8,11.7,42000,2.83,,,,,,,,,,,,,,,,,,,,
南崁溪流域,南崁溪,桃園市,竹圍大橋,丙,2016/5/5 下午 03:15:00,2016/5/5, 28 ,2016,5,5,1049,121.247779,25.108028,,5.5,28.4,30.1,7.3,961,,4.9,64.4,6.7,28.3,26.9,27000,3.63,,,,,,,,,,,,,,,,,,,,
南崁溪流域,南崁溪,桃園市,竹圍大橋,丙,2016/8/2 下午 03:15:00,2016/8/2, 28 ,2016,8,2,1049,121.247779,25.108028,,5.5,31.3,32.7,7.7,1140,,6,82.5,8.8,36.1,45.5,35000,3.78,,,,,,,,,,,,,,,,,,,,
南崁溪流域,茄苳溪(桃),桃園縣,宏太橋,丙,2013/4/1 上午 10:00:00,2013/4/1, 28 ,2013,4,1,1050,121.283283,24.98863,,5,21,20.3,7.6,368,,7.1,78.2,9.8,39.1,47.4,260000,4.66,,,,,,,,,,,,,,,,,,,,
南崁溪流域,茄苳溪(桃),桃園縣,宏太橋,丙,2013/7/1 上午 09:55:00,2013/7/1, 28 ,2013,7,1,1050,121.283283,24.98863,,4.5,32,29.2,7.7,440,,7.6,99.1,8.4,29.6,14.6,65000,3.04,,,,,,,,,,,,,,,,,,,,
南崁溪流域,茄苳溪(桃),桃園市,宏太橋,丙,2014/3/6 上午 10:55:00,2014/3/6, 28 ,2014,3,6,1050,121.283283,24.98863,,4.5,15,15.1,7.3,390,,8.2,81.8,8.1,25.9,14.3,100000,3.99,,0.477,8.11,2.13,0.341,0.001,0.004,0.002,0.0035,0.0003,0.008,0.019,0.116,0.001,0.001,,,,,
南崁溪流域,茄苳溪(桃),桃園市,宏太橋,丙,2014/5/6 上午 10:55:00,2014/5/6, 28 ,2014,5,6,1050,121.283283,24.98863,,4.5,18,19.2,7.3,327,,7.6,82.1,7.1,30.6,18.7,210000,4.42,,,,,,,,,,,,,,,,,,,,
南崁溪流域,茄苳溪(桃),桃園市,宏太橋,丙,2014/9/2 上午 10:58:00,2014/9/2, 28 ,2014,9,2,1050,121.283283,24.98863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,橋樑施工無法採樣
南崁溪流域,茄苳溪(桃),桃園市,宏太橋,丙,2015/1/8 上午 10:45:00,2015/1/8, 28 ,2015,1,8,1050,121.283283,24.98863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南崁溪流域,茄苳溪(桃),桃園市,宏太橋,丙,2015/3/3 上午 12:00:00,2015/3/3, 28 ,2015,3,3,1050,121.283283,24.98863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南崁溪流域,茄苳溪(桃),桃園市,宏太橋,丙,2015/10/2 上午 10:55:00,2015/10/2, 28 ,2015,10,2,1050,121.283283,24.98863,,4.3,24.7,26.1,7.2,439,,5.2,64.6,4.7,23.8,9.3,110000,3.8,,,,,,,,,,,,,,,,,,,,
南崁溪流域,茄苳溪(桃),桃園市,宏太橋,丙,2016/5/5 上午 10:55:00,2016/5/5, 28 ,2016,5,5,1050,121.283283,24.98863,,5,29.4,27.7,7.3,536,,5.4,69.3,5.8,26.7,7.2,61000,5.38,,,,,,,,,,,,,,,,,,,,
南崁溪流域,茄苳溪(桃),桃園市,宏太橋,丙,2016/8/2 上午 10:55:00,2016/8/2, 28 ,2016,8,2,1050,121.283283,24.98863,,5,32.6,30.5,7.6,525,,6.2,83.3,5.6,30.3,13,70000,4.85,,,,,,,,,,,,,,,,,,,,
南崁溪流域,茄苳溪(桃),桃園縣,星見橋,丙,2013/4/1 上午 10:35:00,2013/4/1, 28 ,2013,4,1,1051,121.282643,25.009731,,5.8,21,20.9,7.4,363,,7.4,82.7,12.4,39.5,71.6,290000,5.14,,,,,,,,,,,,,,,,,,,,
南崁溪流域,茄苳溪(桃),桃園縣,星見橋,丙,2013/7/1 上午 10:35:00,2013/7/1, 28 ,2013,7,1,1051,121.282643,25.009731,,4.5,33,29.7,7.7,417,,7.1,94,8.8,22.7,7.9,58000,5.69,,,,,,,,,,,,,,,,,,,,
南崁溪流域,茄苳溪(桃),桃園市,星見橋,丙,2014/3/6 上午 11:35:00,2014/3/6, 28 ,2014,3,6,1051,121.282643,25.009731,,4.5,16,15.4,7.4,384,,8.3,81.7,8.7,27.9,18.4,290000,4.61,,0.54,7.86,1.5,0.272,0.001,0.003,0.002,0.0018,0.0003,0.007,0.02,0.114,0.001,0.001,,,,,
南崁溪流域,茄苳溪(桃),桃園市,星見橋,丙,2014/5/6 上午 11:35:00,2014/5/6, 28 ,2014,5,6,1051,121.282643,25.009731,,4.5,19,19.5,7.4,330,,7.3,79.3,7.7,31,15.2,200000,4.24,,,,,,,,,,,,,,,,,,,,
南崁溪流域,茄苳溪(桃),桃園市,星見橋,丙,2014/9/2 上午 11:35:00,2014/9/2, 28 ,2014,9,2,1051,121.282643,25.009731,,5,33.2,29.9,7.3,518,,6.2,81.5,6.3,27.8,14.7,210000,7.3,,0.843,,0.79,,0.001,0.003,0.002,0.0015,0.0003,0.007,0.017,0.112,0.001,,,,,,
南崁溪流域,茄苳溪(桃),桃園市,星見橋,丙,2015/1/8 上午 11:20:00,2015/1/8, 28 ,2015,1,8,1051,121.282643,25.009731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南崁溪流域,茄苳溪(桃),桃園市,星見橋,丙,2015/3/3 上午 11:10:00,2015/3/3, 28 ,2015,3,3,1051,121.282643,25.009731,,5,24.8,21,7.6,730,,6.2,68.9,9.4,32.3,5.3,65000,12,,1.09,9.47,2.14,0.316,0.001,0.003,0.002,0.0008,0.0003,0.006,0.013,0.13,0.001,0.001,,,,,
南崁溪流域,茄苳溪(桃),桃園市,星見橋,丙,2015/10/2 上午 11:35:00,2015/10/2, 28 ,2015,10,2,1051,121.282643,25.009731,,5,24.8,26.3,7.2,443,,4.3,53.4,4.6,22.6,7.5,41000,5.25,,,,,,,,,,,,,,,,,,,,
南崁溪流域,茄苳溪(桃),桃園市,星見橋,丙,2016/5/5 上午 11:35:00,2016/5/5, 28 ,2016,5,5,1051,121.282643,25.009731,,5,31.1,27.4,7.3,480,,5.6,70.3,7.2,25.9,8.3,52000,5.83,,,,,,,,,,,,,,,,,,,,
南崁溪流域,茄苳溪(桃),桃園市,星見橋,丙,2016/8/2 上午 11:35:00,2016/8/2, 28 ,2016,8,2,1051,121.282643,25.009731,,5,33.1,30.4,7.6,491,,5.9,79.6,6.4,30.3,10.9,56000,6.48,,,,,,,,,,,,,,,,,,,,
南崁溪流域,茄苳溪(桃),桃園縣,茄苳溪橋,丁,2013/4/1 下午 12:25:00,2013/4/1, 28 ,2013,4,1,1052,121.277437,25.0262,,5.8,22,21.1,2.8,1580,,7.7,86.5,5.1,63.3,64.6,41000,5.42,,,,,,,,,,,,,,,,,,,,
南崁溪流域,茄苳溪(桃),桃園縣,茄苳溪橋,丁,2013/7/1 下午 12:45:00,2013/7/1, 28 ,2013,7,1,1052,121.277437,25.0262,,3.8,34,31.7,7.9,480,,10,136,4.2,22.9,5.5,27000,4.79,,,,,,,,,,,,,,,,,,,,
南崁溪流域,茄苳溪(桃),桃園市,茄苳溪橋,丁,2014/3/6 下午 02:14:00,2014/3/6, 28 ,2014,3,6,1052,121.277437,25.0262,,5.8,17,16.1,7.5,399,,8.3,83.6,14.9,29.5,84.5,96000,5.01,,0.656,7.92,1.73,0.289,0.001,0.01,0.002,0.0025,0.0003,0.025,0.074,0.185,0.001,0.001,,,,,
南崁溪流域,茄苳溪(桃),桃園市,茄苳溪橋,丁,2014/5/6 下午 02:05:00,2014/5/6, 28 ,2014,5,6,1052,121.277437,25.0262,,4.5,20,19.9,7.4,355,,7.8,85.3,7.3,26,14.6,54000,5.01,,,,,,,,,,,,,,,,,,,,
南崁溪流域,茄苳溪(桃),桃園市,茄苳溪橋,丁,2014/9/2 下午 02:05:00,2014/9/2, 28 ,2014,9,2,1052,121.277437,25.0262,,4.5,35.3,32.5,7.6,521,,6.6,91.7,7.8,32.9,7.5,29000,3.49,,0.588,,1.17,,0.001,0.003,0.002,0.0021,0.0003,0.006,0.015,0.068,0.001,,,,,,
南崁溪流域,茄苳溪(桃),桃園市,茄苳溪橋,丁,2015/1/8 下午 02:05:00,2015/1/8, 28 ,2015,1,8,1052,121.277437,25.0262,,4.5,17.7,17,7.2,663,,7.5,77.3,11.4,34.2,3.8,42000,9.37,,,,,,,,,,,,,,,,,,,,
南崁溪流域,茄苳溪(桃),桃園市,茄苳溪橋,丁,2015/3/3 下午 02:05:00,2015/3/3, 28 ,2015,3,3,1052,121.277437,25.0262,,4.5,24.2,23.3,7.4,701,,8.9,104.1,7,37.2,2.8,33000,7.52,,0.898,9.92,2.52,0.323,0.001,0.003,0.002,0.001,0.0003,0.007,0.087,0.081,0.001,0.001,,,,,
南崁溪流域,茄苳溪(桃),桃園市,茄苳溪橋,丁,2015/10/2 下午 02:05:00,2015/10/2, 28 ,2015,10,2,1052,121.277437,25.0262,,5,24.6,26.4,7.3,450,,5.4,66.1,5.2,19.2,5.9,20000,3.59,,,,,,,,,,,,,,,,,,,,
南崁溪流域,茄苳溪(桃),桃園市,茄苳溪橋,丁,2016/5/5 下午 02:05:00,2016/5/5, 28 ,2016,5,5,1052,121.277437,25.0262,,5,30.2,28.3,7.3,526,,5.9,76.3,6.8,27.7,7.5,37000,4.86,,,,,,,,,,,,,,,,,,,,
南崁溪流域,茄苳溪(桃),桃園市,茄苳溪橋,丁,2016/8/2 下午 02:05:00,2016/8/2, 28 ,2016,8,2,1052,121.277437,25.0262,,4.5,33.7,31.8,7.7,531,,7.4,101.8,6.4,31.3,7.6,6100,4.76,,,,,,,,,,,,,,,,,,,,
老街溪流域,老街溪,桃園縣,美都麗橋,丙,2013/4/1 上午 09:15:00,2013/4/1, 28 ,2013,4,1,1053,121.213291,24.87427,,5.5,20.1,19.1,8.2,186,,4.8,53.1,12.7,35.1,30.1,660000,3.83,,,,,,,,,,,,,,,,,,,,
老街溪流域,老街溪,桃園縣,美都麗橋,丙,2013/7/1 上午 07:55:00,2013/7/1, 28 ,2013,7,1,1053,121.213291,24.87427,,5.8,32.7,26.9,7,353,,3.9,49.7,5.8,27.6,6.6,510000,6.71,,,,,,,,,,,,,,,,,,,,
老街溪流域,老街溪,桃園市,美都麗橋,丙,2014/3/6 上午 09:41:00,2014/3/6, 28 ,2014,3,6,1053,121.213291,24.87427,,3.3,13.5,14.9,7.1,237,,5.9,58.9,3.5,15.5,8.2,50000,2.81,,0.527,4.73,1.51,0.147,0.001,0.004,0.002,0.0019,0.0003,0.006,0.018,0.065,0.001,0.001,,,,,
老街溪流域,老街溪,桃園市,美都麗橋,丙,2014/5/6 上午 10:06:00,2014/5/6, 28 ,2014,5,6,1053,121.213291,24.87427,,4.5,18.8,19.4,7,259,,6.7,74.6,5.5,11.4,17.6,230000,3.14,,,,,,,,,,,,,,,,,,,,
老街溪流域,老街溪,桃園市,美都麗橋,丙,2014/9/2 上午 10:20:00,2014/9/2, 28 ,2014,9,2,1053,121.213291,24.87427,,4.5,32.3,28.5,7,288,,8,104.5,5.3,22.3,7.5,18000,4.12,,0.988,,1.37,,0.001,0.003,0.002,0.0022,0.0003,0.006,0.02,0.058,0.001,,,,,,
老街溪流域,老街溪,桃園市,美都麗橋,丙,2015/1/8 上午 08:15:00,2015/1/8, 28 ,2015,1,8,1053,121.213291,24.87427,,6.8,13,14.4,7,391,,1.8,17.6,8.8,31.9,6.4,57000,8.98,,,,,,,,,,,,,,,,,,,,
老街溪流域,老街溪,桃園市,美都麗橋,丙,2015/3/3 上午 09:25:00,2015/3/3, 28 ,2015,3,3,1053,121.213291,24.87427,,5,21.8,19.2,7,417,,4.6,51.6,9.9,30.1,3.9,140000,6.75,,1.06,7.84,0.6,0.043,0.001,0.003,0.002,0.0003,0.0003,0.003,0.009,0.056,0.001,0.001,,,,,
老街溪流域,老街溪,桃園市,美都麗橋,丙,2015/10/2 上午 09:15:00,2015/10/2, 28 ,2015,10,2,1053,121.213291,24.87427,,3.5,23.4,25.3,7,209,,6.5,80.3,5.3,17.7,6.7,150000,1.68,,,,,,,,,,,,,,,,,,,,
老街溪流域,老街溪,桃園市,美都麗橋,丙,2016/5/5 上午 08:55:00,2016/5/5, 28 ,2016,5,5,1053,121.213291,24.87427,,3.8,28.1,26.3,7.1,266,,8.2,103.1,4.8,16.9,3.6,180000,3.31,,,,,,,,,,,,,,,,,,,,
老街溪流域,老街溪,桃園市,美都麗橋,丙,2016/8/2 上午 08:55:00,2016/8/2, 28 ,2016,8,2,1053,121.213291,24.87427,,5,30.6,27.7,7.1,287,,6.9,88.9,7.5,33.1,46.8,57000,3.1,,,,,,,,,,,,,,,,,,,,
老街溪流域,老街溪,桃園縣,北勢橋,丙,2013/4/1 上午 10:25:00,2013/4/1, 28 ,2013,4,1,1054,121.212442,24.924829,,6.8,20.9,19.6,7.5,359,,7.8,86.1,34.3,71.9,90.2,260000,5.72,,,,,,,,,,,,,,,,,,,,
老街溪流域,老街溪,桃園縣,北勢橋,丙,2013/7/1 上午 09:00:00,2013/7/1, 28 ,2013,7,1,1054,121.212442,24.924829,,4,33.5,27,7.5,407,,5.9,75.3,8,24.3,18.2,160000,1.97,,,,,,,,,,,,,,,,,,,,
老街溪流域,老街溪,桃園市,北勢橋,丙,2014/3/6 上午 10:55:00,2014/3/6, 28 ,2014,3,6,1054,121.212442,24.924829,,3.5,13.5,14.4,7.4,423,,8.4,83.5,5.2,29.3,15.6,96000,1.81,,0.488,6.1,4.89,0.207,0.002,0.005,0.002,0.0019,0.0003,0.025,0.115,0.065,0.001,0.001,,,,,
老街溪流域,老街溪,桃園市,北勢橋,丙,2014/5/6 上午 11:16:00,2014/5/6, 28 ,2014,5,6,1054,121.212442,24.924829,,3.5,17.7,19,7.2,394,,8.5,92.4,6.1,22,12,170000,1.99,,,,,,,,,,,,,,,,,,,,
老街溪流域,老街溪,桃園市,北勢橋,丙,2014/9/2 上午 11:35:00,2014/9/2, 28 ,2014,9,2,1054,121.212442,24.924829,,3.5,33.2,30.5,7.7,548,,6.5,86.6,5.1,22.9,13.2,230000,1.74,,0.575,,3.93,,0.001,0.003,0.002,0.0023,0.0003,0.014,0.024,0.06,0.001,,,,,,
老街溪流域,老街溪,桃園市,北勢橋,丙,2015/1/8 上午 09:25:00,2015/1/8, 28 ,2015,1,8,1054,121.212442,24.924829,,3.5,13.8,13.5,7.2,689,,9,87,9.6,26.9,15.3,48000,2.41,,,,,,,,,,,,,,,,,,,,
老街溪流域,老街溪,桃園市,北勢橋,丙,2015/3/3 上午 10:45:00,2015/3/3, 28 ,2015,3,3,1054,121.212442,24.924829,,5,21.4,18.9,7.2,597,,7.2,78.1,13.8,40.4,48.9,290000,3.7,,0.94,9.03,5.78,0.374,0.005,0.003,0.002,0.0016,0.0003,0.013,0.043,0.132,0.001,0.001,,,,,
老街溪流域,老街溪,桃園市,北勢橋,丙,2015/10/2 上午 10:30:00,2015/10/2, 28 ,2015,10,2,1054,121.212442,24.924829,,2,23.9,25.6,7.3,390,,7.4,91.3,3.5,16.3,7.3,200000,0.9,,,,,,,,,,,,,,,,,,,,
老街溪流域,老街溪,桃園市,北勢橋,丙,2016/5/5 上午 10:15:00,2016/5/5, 28 ,2016,5,5,1054,121.212442,24.924829,,4.3,29.6,28.3,9.9,544,,8.2,106.2,3.2,17.9,112,25000,0.8,,,,,,,,,,,,,,,,,,,,
老街溪流域,老街溪,桃園市,北勢橋,丙,2016/8/2 上午 10:45:00,2016/8/2, 28 ,2016,8,2,1054,121.212442,24.924829,,3.5,35,32.2,8,593,,8.8,123.6,6.9,33.3,19.7,710000,1.9,,,,,,,,,,,,,,,,,,,,
老街溪流域,老街溪,桃園縣,環鄉橋(原為宋屋),丙,2013/4/1 上午 11:05:00,2013/4/1, 28 ,2013,4,1,1055,121.210095,24.943377,,6.8,21.5,20.2,7.5,566,,7.9,88.7,14.5,76.8,358,230000,6.06,,,,,,,,,,,,,,,,,,,,
老街溪流域,老街溪,桃園縣,環鄉橋(原為宋屋),丙,2013/7/1 上午 09:38:00,2013/7/1, 28 ,2013,7,1,1055,121.210095,24.943377,,4.5,35.1,30,7.8,1040,,7.2,97,6.2,40.3,11.3,210000,6.56,,,,,,,,,,,,,,,,,,,,
老街溪流域,老街溪,桃園市,環鄉橋(原為宋屋),丙,2014/3/6 上午 11:45:00,2014/3/6, 28 ,2014,3,6,1055,121.210095,24.943377,,4.5,14.5,15,7.5,796,,7.6,76.3,8.1,35.6,18.8,560000,8.5,,1.24,8.9,4.79,0.275,0.001,0.011,0.002,0.0093,0.0003,0.054,0.114,0.142,0.001,0.001,,,,,
老街溪流域,老街溪,桃園市,環鄉橋(原為宋屋),丙,2014/5/6 上午 11:55:00,2014/5/6, 28 ,2014,5,6,1055,121.210095,24.943377,,5,17.8,19.1,7.2,567,,7.8,85,8.3,30,21.1,260000,3.36,,,,,,,,,,,,,,,,,,,,
老街溪流域,老街溪,桃園市,環鄉橋(原為宋屋),丙,2014/9/2 下午 01:46:00,2014/9/2, 28 ,2014,9,2,1055,121.210095,24.943377,,3.8,34.1,32.5,7.5,1060,,6.8,95.3,4.1,30.9,13.5,230000,4.81,,1.4,,5.63,,0.001,0.004,0.002,0.0053,0.0003,0.051,0.063,0.094,0.001,,,,,,
老街溪流域,老街溪,桃園市,環鄉橋(原為宋屋),丙,2015/1/8 上午 10:10:00,2015/1/8, 28 ,2015,1,8,1055,121.210095,24.943377,,4.5,14.2,14.5,7.3,1310,,6.7,66.4,11.9,49.3,11.4,52000,4.14,,,,,,,,,,,,,,,,,,,,
老街溪流域,老街溪,桃園市,環鄉橋(原為宋屋),丙,2015/3/3 上午 11:35:00,2015/3/3, 28 ,2015,3,3,1055,121.210095,24.943377,,6.3,22,22.7,7.4,1090,,4.4,52.2,10.7,39.4,26.4,390000,5.43,,1.67,12.1,4.61,0.561,0.001,0.003,0.002,0.0019,0.0003,0.039,0.057,0.171,0.001,0.001,,,,,
老街溪流域,老街溪,桃園市,環鄉橋(原為宋屋),丙,2015/10/2 上午 11:15:00,2015/10/2, 28 ,2015,10,2,1055,121.210095,24.943377,,4,24.2,25.7,7.5,620,,6.1,75,5.2,20.2,10.6,460000,2.55,,,,,,,,,,,,,,,,,,,,
老街溪流域,老街溪,桃園市,環鄉橋(原為宋屋),丙,2016/5/5 上午 11:00:00,2016/5/5, 28 ,2016,5,5,1055,121.210095,24.943377,,5,30.6,28.5,7.7,882,,5.2,67.4,5.7,26.1,7.3,62000,3.27,,,,,,,,,,,,,,,,,,,,
老街溪流域,老街溪,桃園市,環鄉橋(原為宋屋),丙,2016/8/2 上午 11:36:00,2016/8/2, 28 ,2016,8,2,1055,121.210095,24.943377,,5,34.3,31.7,7.7,895,,6.4,88.8,6.8,32.5,19.6,80000,4.82,,,,,,,,,,,,,,,,,,,,
老街溪流域,老街溪,桃園縣,公園橋上游(原為青埔橋),丙,2013/4/1 下午 12:05:00,2013/4/1, 28 ,2013,4,1,1056,121.209365,25.003354,,6.8,20.2,20.2,7.7,624,,8.2,90.8,13.2,53.1,194,340000,7.71,,,,,,,,,,,,,,,,,,,,
老街溪流域,老街溪,桃園縣,公園橋上游(原為青埔橋),丙,2013/7/1 上午 10:40:00,2013/7/1, 28 ,2013,7,1,1056,121.209365,25.003354,,2.8,34.1,31.9,8.3,847,,10.7,147.5,3.5,33.5,10.3,2600,2.43,,,,,,,,,,,,,,,,,,,,
老街溪流域,老街溪,桃園市,公園橋上游(原為青埔橋),丙,2014/3/6 下午 01:38:00,2014/3/6, 28 ,2014,3,6,1056,121.209365,25.003354,,4.5,13.4,15.6,7.5,781,,8.9,90.1,8.7,30.5,10,320000,3.84,,0.967,8.59,3.34,0.837,0.001,0.005,0.002,0.0022,0.0003,0.032,0.072,0.09,0.001,0.001,,,,,
老街溪流域,老街溪,桃園市,公園橋上游(原為青埔橋),丙,2014/5/6 下午 01:36:00,2014/5/6, 28 ,2014,5,6,1056,121.209365,25.003354,,3.8,19.3,19.7,7.1,628,,8.2,90.8,3.8,22.1,6.6,180000,3.08,,,,,,,,,,,,,,,,,,,,
老街溪流域,老街溪,桃園市,公園橋上游(原為青埔橋),丙,2014/9/2 下午 02:45:00,2014/9/2, 28 ,2014,9,2,1056,121.209365,25.003354,,6,34.5,33,7.6,1090,,7.9,111.8,17.2,60.2,22.1,3500,3.85,,1,,2.06,,0.001,0.003,0.002,0.0023,0.0003,0.02,0.047,0.133,0.001,,,,,,
老街溪流域,老街溪,桃園市,公園橋上游(原為青埔橋),丙,2015/1/8 上午 11:05:00,2015/1/8, 28 ,2015,1,8,1056,121.209365,25.003354,,7.8,19.8,15.3,7.4,1150,,9.1,90.6,96.2,234,328,51000,8.1,,,,,,,,,,,,,,,,,,,,
老街溪流域,老街溪,桃園市,公園橋上游(原為青埔橋),丙,2015/3/3 下午 01:35:00,2015/3/3, 28 ,2015,3,3,1056,121.209365,25.003354,,3.5,22.4,25.9,7.4,1880,,8.9,110.8,7.2,34.1,4.1,3600,1.46,,0.886,11.6,10.5,0.925,0.001,0.003,0.002,0.0012,0.0003,0.042,0.057,0.142,0.001,0.001,,,,,
老街溪流域,老街溪,桃園市,公園橋上游(原為青埔橋),丙,2015/10/2 下午 01:25:00,2015/10/2, 28 ,2015,10,2,1056,121.209365,25.003354,,3.3,26.1,26.5,7.7,699,,7,87.2,3.8,18.7,21.3,44000,1.2,,,,,,,,,,,,,,,,,,,,
老街溪流域,老街溪,桃園市,公園橋上游(原為青埔橋),丙,2016/5/5 下午 01:15:00,2016/5/5, 28 ,2016,5,5,1056,121.209365,25.003354,,2.8,30.4,31.5,8.2,654,,9.2,124.2,4.1,20.3,6.7,35000,1.34,,,,,,,,,,,,,,,,,,,,
老街溪流域,老街溪,桃園市,公園橋上游(原為青埔橋),丙,2016/8/2 下午 01:55:00,2016/8/2, 28 ,2016,8,2,1056,121.209365,25.003354,,3.5,35.4,35.1,8.9,1150,,15.7,228,6.1,36.5,14.5,320,1.29,,,,,,,,,,,,,,,,,,,,
老街溪流域,老街溪,桃園縣,中正橋,丙,2013/4/1 下午 01:06:00,2013/4/1, 28 ,2013,4,1,1057,121.196397,25.063758,,7.8,20.9,20.3,6.9,629,,7.8,86.4,16.1,44.4,116,220000,5.13,,,,,,,,,,,,,,,,,,,,
老街溪流域,老街溪,桃園縣,中正橋,丙,2013/7/1 下午 12:55:00,2013/7/1, 28 ,2013,7,1,1057,121.196397,25.063758,,2.8,37.5,34.1,8.6,693,,9.4,133.4,6.6,26,22.6,17000,0.42,,,,,,,,,,,,,,,,,,,,
老街溪流域,老街溪,桃園市,中正橋,丙,2014/3/6 下午 02:42:00,2014/3/6, 28 ,2014,3,6,1057,121.196397,25.063758,,3.5,13.1,14.7,7.4,635,,8.6,86.8,12.4,25.9,15.5,58000,2.33,,0.65,6.89,4.7,0.59,0.001,0.007,0.002,0.0034,0.0003,0.025,0.081,0.063,0.001,0.001,,,,,
老街溪流域,老街溪,桃園市,中正橋,丙,2014/5/6 下午 02:36:00,2014/5/6, 28 ,2014,5,6,1057,121.196397,25.063758,,3.5,19.1,19.7,7,506,,7.6,83.1,7.8,22.6,9.6,160000,1.77,,,,,,,,,,,,,,,,,,,,
